UUID,Start Date,End Date,Type,Value,Unit,Source
865611d3-d443-4e22-98fd-8b9c4ee12734,2025-12-31T16:00:11Z,2025-12-31T16:00:21Z,Walking Step Length,0.5,m,马林康的iPhone
9ff6c3c0-46b4-4029-ab18-b0f9803d1f2b,2025-12-31T16:00:11Z,2025-12-31T16:00:21Z,Walking Speed,0.91,m/s,马林康的iPhone
f3faf71c-4e66-4189-a523-c2f35c01cb4b,2025-12-31T16:00:11Z,2025-12-31T16:00:21Z,Walking Double Support,30.1,%,马林康的iPhone
38e7c774-684b-40f9-ade4-8f278a70cc95,2025-12-31T16:03:08Z,2025-12-31T16:03:14Z,Walking Double Support,31.5,%,马林康的iPhone
51fe1276-3c2b-4bf8-8245-1177fddf7d4e,2025-12-31T16:03:08Z,2025-12-31T16:03:14Z,Walking Speed,0.92,m/s,马林康的iPhone
966aa9e7-989a-4274-b00c-ba33a2cc3306,2025-12-31T16:03:08Z,2025-12-31T16:03:14Z,Walking Step Length,0.52,m,马林康的iPhone
1c93ff6f-6252-42f3-93f4-01db30d54c9d,2026-01-01T09:42:42Z,2026-01-01T09:42:58Z,Walking Speed,1.67,m/s,马林康的iPhone
640c1d3a-919b-4e9b-b026-3abaf1416b83,2026-01-01T09:42:42Z,2026-01-01T09:42:58Z,Walking Asymmetry,0,%,马林康的iPhone
dc0d29a2-d47e-4f3b-97d7-92dea43a39d5,2026-01-01T09:42:42Z,2026-01-01T09:42:58Z,Walking Double Support,22.8,%,马林康的iPhone
fc2bde96-b6cb-4426-af71-57c34a12d668,2026-01-01T09:42:42Z,2026-01-01T09:42:58Z,Walking Step Length,0.75,m,马林康的iPhone
188c9144-ad20-4ca0-8c2d-da7bd591625a,2026-01-01T11:03:01Z,2026-01-01T11:03:42Z,Walking Asymmetry,0,%,马林康的iPhone
b9f954d1-cbde-4ec8-96be-2ceee6ec5240,2026-01-01T11:03:01Z,2026-01-01T11:03:42Z,Walking Double Support,27.7,%,马林康的iPhone
d91da5b8-d77d-49ca-a345-ee9cf4d623fe,2026-01-01T11:03:01Z,2026-01-01T11:03:42Z,Walking Speed,1.43,m/s,马林康的iPhone
fa472316-b829-4b6f-aa62-a24d9c879c87,2026-01-01T11:03:01Z,2026-01-01T11:03:42Z,Walking Step Length,0.68,m,马林康的iPhone
3f7f7368-e590-4f06-8498-8751739284b7,2026-01-01T11:03:55Z,2026-01-01T11:08:55Z,Walking Asymmetry,0,%,马林康的iPhone
9ef9ce06-2f29-4911-9b8d-4873d39edafe,2026-01-01T11:03:55Z,2026-01-01T11:08:55Z,Walking Speed,1.32,m/s,马林康的iPhone
ae652879-7186-4a1f-8ed8-d7d5f679bf30,2026-01-01T11:03:55Z,2026-01-01T11:08:55Z,Walking Step Length,0.63,m,马林康的iPhone
c267de8d-9a4e-4c1a-991e-279baae17c18,2026-01-01T11:03:55Z,2026-01-01T11:08:55Z,Walking Double Support,28.7,%,马林康的iPhone
6877d0ac-a47e-41df-b8ca-fe6a0bd42b46,2026-01-01T11:08:55Z,2026-01-01T11:10:23Z,Walking Step Length,0.56,m,马林康的iPhone
9eec98fb-97b2-4689-9881-9a4eac64b794,2026-01-01T11:08:55Z,2026-01-01T11:10:23Z,Walking Speed,1.14,m/s,马林康的iPhone
ef19d6f9-ef14-4999-90b0-a05cb76344c6,2026-01-01T11:08:55Z,2026-01-01T11:10:23Z,Walking Double Support,30.1,%,马林康的iPhone
f0440dd3-c082-4273-abce-f86cd69b6a57,2026-01-01T11:08:55Z,2026-01-01T11:10:23Z,Walking Asymmetry,1,%,马林康的iPhone
c854e2ef-517f-452e-9ef6-f8255b146885,2026-01-01T11:16:52Z,2026-01-01T11:16:55Z,Walking Double Support,30.9,%,马林康的iPhone
cd4761c0-b1e7-4074-8466-5a41ac38777c,2026-01-01T11:16:52Z,2026-01-01T11:16:55Z,Walking Step Length,0.52,m,马林康的iPhone
f7eb4e81-dca3-44de-9982-0de10007eaaf,2026-01-01T11:16:52Z,2026-01-01T11:16:55Z,Walking Speed,1.05,m/s,马林康的iPhone
14363184-0408-44ab-b785-4348e54c9cb9,2026-01-01T11:18:51Z,2026-01-01T11:19:24Z,Walking Double Support,31.7,%,马林康的iPhone
19d51427-8029-485c-98ba-1fba39dcf810,2026-01-01T11:18:51Z,2026-01-01T11:19:24Z,Walking Asymmetry,0,%,马林康的iPhone
7a4b23b2-fb15-4380-9786-f305a64ac7ea,2026-01-01T11:18:51Z,2026-01-01T11:19:24Z,Walking Speed,0.94,m/s,马林康的iPhone
c4d02ff4-4b1e-491f-9581-a84b0f32163d,2026-01-01T11:18:51Z,2026-01-01T11:19:24Z,Walking Step Length,0.53,m,马林康的iPhone
21c01d8f-6913-4f67-af00-92b64260ae96,2026-01-01T11:21:50Z,2026-01-01T11:22:43Z,Walking Asymmetry,3,%,马林康的iPhone
b7415f73-67af-4726-8586-db8c2db7128c,2026-01-01T11:21:50Z,2026-01-01T11:22:43Z,Walking Step Length,0.53,m,马林康的iPhone
d61b61d4-9168-44b5-9d70-46298ac333a9,2026-01-01T11:21:50Z,2026-01-01T11:22:43Z,Walking Double Support,31.2,%,马林康的iPhone
e60c82af-b81d-4a16-b129-62e8ca22e798,2026-01-01T11:21:50Z,2026-01-01T11:22:43Z,Walking Speed,1.02,m/s,马林康的iPhone
16e2fddd-87f9-4ce1-a28d-f9ab333f2eb3,2026-01-01T11:24:34Z,2026-01-01T11:24:50Z,Walking Speed,1.04,m/s,马林康的iPhone
677683cb-f129-410a-be20-c225aaad6fde,2026-01-01T11:24:34Z,2026-01-01T11:24:50Z,Walking Double Support,30.7,%,马林康的iPhone
6c397590-71b0-48a5-8f56-a3e122bb73b3,2026-01-01T11:24:34Z,2026-01-01T11:24:50Z,Walking Step Length,0.53,m,马林康的iPhone
83f5de61-c388-4f08-99c1-5824249a02c8,2026-01-01T11:24:34Z,2026-01-01T11:24:50Z,Walking Asymmetry,8,%,马林康的iPhone
18778139-2f5c-46ae-9ce4-ddf8af7f6368,2026-01-01T11:25:01Z,2026-01-01T11:25:49Z,Walking Double Support,31.1,%,马林康的iPhone
