UUID,Start Date,End Date,Type,Value,Unit,Source
0acdfb9f-4e8a-4dc5-b3a9-12472e91d38a,2026-01-02T06:20:14Z,2026-01-02T06:20:14Z,Water,500.0005,mL,WaterMinder
49a19ce0-3200-409e-9e16-6a0ba3f3ea3a,2026-04-01T01:55:40Z,2026-04-01T01:55:40Z,Water,500.0005,mL,WaterMinder
a41337d9-9921-45e1-9d28-c4464330171c,2026-04-01T01:57:28Z,2026-04-01T01:57:28Z,Water,350.00035,mL,WaterMinder
66bd97d1-2b80-4778-aa69-c8cc05c98b42,2026-04-01T08:58:22Z,2026-04-01T08:58:22Z,Water,350.00035,mL,WaterMinder
a9b61e58-0aee-459c-b05a-3ca0af843fac,2026-04-01T08:58:37Z,2026-04-01T08:58:37Z,Water,350.00035,mL,WaterMinder
fafde7ad-7d22-438a-9ed7-2640e9c6f861,2026-04-27T07:08:53Z,2026-04-27T07:08:53Z,Water,350.00035,mL,WaterMinder
b61d5f49-75ad-48e2-abd5-8bd07146de98,2026-04-27T07:08:55Z,2026-04-27T07:08:55Z,Water,350.00035,mL,WaterMinder
c0eea001-84cb-46ca-9b37-dbc8accea81c,2026-04-27T07:09:01Z,2026-04-27T07:09:01Z,Water,350.00035,mL,WaterMinder
0216cc7e-40bc-4d04-8753-a19821eefb3f,2026-05-07T02:32:31Z,2026-05-07T02:32:31Z,Water,350.00035,mL,WaterMinder
f413abc2-4164-436f-88f7-09678704c850,2026-06-24T04:22:53Z,2026-06-24T04:22:53Z,Water,350.00035,mL,WaterMinder
f587eb8e-9628-48a0-ada4-57486a22986a,2026-06-24T04:22:55Z,2026-06-24T04:22:55Z,Water,350.00035,mL,WaterMinder
883a2536-88cf-4259-9204-cb2a22961dd6,2026-06-25T04:00:32Z,2026-06-25T04:00:32Z,Water,350.00035,mL,WaterMinder
e4c7cdda-8f86-4a74-af1e-a4c2ed791fe5,2026-06-25T04:00:34Z,2026-06-25T04:00:34Z,Water,350.00035,mL,WaterMinder
467b3c7c-02e2-43af-9983-8533cf9a4ae5,2026-06-25T06:29:51Z,2026-06-25T06:29:51Z,Water,350.00035,mL,WaterMinder
ffd455d9-f0cf-4a11-a02e-ced6d54bfea5,2026-06-25T07:29:54Z,2026-06-25T07:29:54Z,Water,350.00035,mL,WaterMinder
a5d52f6d-d457-42a4-a5d9-e110e2d912d1,2026-06-25T10:35:28Z,2026-06-25T10:35:28Z,Water,350.00035,mL,WaterMinder
b9c819e5-6f94-492b-ba37-9370334b3fcd,2026-06-25T10:35:46Z,2026-06-25T10:35:46Z,Water,350.00035,mL,WaterMinder
ca7536e5-4856-49b5-988c-c74a61ab4063,2026-06-26T01:46:30Z,2026-06-26T01:46:30Z,Water,600.0006,mL,WaterMinder
7889cbe9-68fd-4098-9e9a-7825582bfd48,2026-06-26T02:16:22Z,2026-06-26T02:16:22Z,Water,500.0005,mL,WaterMinder
3d13e744-6aaf-4ccc-8259-8d6df0a8759e,2026-06-26T03:56:43Z,2026-06-26T03:56:43Z,Water,350.00035,mL,WaterMinder
d25ca697-617c-43f1-b5b1-0312aecd291a,2026-06-26T05:09:07Z,2026-06-26T05:09:07Z,Water,350.00035,mL,WaterMinder
62e8948c-6619-45d3-b951-92809950510c,2026-07-07T03:32:16Z,2026-07-07T03:32:16Z,Water,500.0005,mL,WaterMinder
f5d1a8a8-4754-4b3a-902d-68f4605606ae,2026-07-07T03:32:19Z,2026-07-07T03:32:19Z,Water,500.0005,mL,WaterMinder
2ce7e833-ed85-4000-aac4-e172176593f9,2026-07-07T03:32:22Z,2026-07-07T03:32:22Z,Water,500.0005,mL,WaterMinder
15211965-1234-4dd9-af9b-23456080b8e3,2026-07-07T04:33:23Z,2026-07-07T04:33:23Z,Water,500.0005,mL,WaterMinder
